Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K88,TheMUMMY,+319.60%,+250.60%,+302.60%,+41.50%,-41.50%,+343.32%,+248.56%,+1407.50%,+2008.42%,+1179.57%,+130.50%,-145.50%,+111.00%,+472.00%,+2273.70%,+1208.00%,+1428.70%,+147.00%,-126.50%,+390.00%,+205.00%,+1655.50%,+1203.50%,+910.00%,+142.00%,-134.50%,+477.00%,+270.00%,+1466.85%,+678.00%,+1007.00%,+131.00%,-112.50%,+198.00%,+109.00%,+23.00%
K88,鷹眼¥Hawkeye,+237.10%,+247.60%,+264.60%,+39.00%,-39.00%,+277.60%,+203.92%,+1012.70%,+1528.49%,+1620.20%,+130.50%,-154.00%,+78.00%,+182.00%,+2009.80%,+1169.00%,+789.70%,+138.25%,-126.50%,+154.00%,+81.00%,+1862.50%,+1094.00%,+843.85%,+144.25%,-130.50%,+146.00%,+100.00%,+1160.60%,+385.50%,+811.50%,+64.55%,-55.70%,+43.00%,+35.00%,+23.50%
K88,Samedow⁰²,+290.21%,+245.60%,+245.10%,+41.50%,-40.00%,+177.34%,+134.78%,+922.70%,+1430.12%,+1377.99%,+138.75%,-128.75%,+84.00%,+215.00%,+1122.00%,+1066.00%,+635.35%,+144.75%,-130.75%,+81.00%,+38.00%,+2128.55%,+1386.50%,+1070.70%,+150.75%,-108.75%,+270.00%,+155.00%,+967.55%,+686.20%,+242.50%,+79.80%,-53.80%,+55.00%,+27.50%,+20.50%
K88,血洗一身罪孽,+254.10%,+227.60%,+260.60%,+39.00%,-39.00%,+334.48%,+126.00%,+700.20%,+1166.07%,+1529.62%,+119.50%,-136.50%,+101.00%,+312.00%,+2096.55%,+1557.70%,+715.00%,+132.50%,-122.50%,+192.00%,+11.00%,+1444.00%,+1154.85%,+874.35%,+137.00%,-122.50%,+174.00%,+136.00%,+1253.00%,+280.00%,+881.00%,+50.10%,-38.10%,+127.00%,+79.00%,+21.50%
K88,聖菲立克斯JAY࿐,+283.60%,+221.60%,+249.60%,+39.00%,-38.50%,+313.70%,+134.16%,+848.70%,+1173.07%,+1593.12%,+119.50%,-135.00%,+106.00%,+335.00%,+1701.05%,+1299.20%,+465.50%,+112.50%,-114.50%,+95.00%,+68.50%,+1811.50%,+1482.85%,+1137.35%,+138.50%,-121.50%,+194.00%,+124.00%,+1090.50%,+343.50%,+785.50%,+30.00%,-25.00%,+84.50%,+54.50%,+20.50%
K88,JC31X,+297.10%,+235.10%,+273.10%,+37.50%,-37.50%,+453.76%,+313.44%,+1385.70%,+1736.00%,+1364.70%,+100.50%,-110.50%,+172.00%,+452.00%,+1915.35%,+1399.00%,+1109.00%,+102.50%,-102.50%,+337.00%,+202.00%,+1452.50%,+1103.50%,+907.35%,+110.50%,-102.50%,+419.00%,+245.00%,+1149.50%,+638.00%,+910.00%,+18.50%,-18.50%,+101.00%,+64.00%,+4.50%
K88,༺•TEOMΛN•༻,+230.60%,+198.10%,+254.60%,+37.50%,-37.50%,+150.74%,+85.08%,+722.70%,+1107.63%,+964.92%,+130.50%,-126.65%,+97.00%,+150.00%,+1633.70%,+1173.70%,+647.85%,+130.65%,-114.00%,+94.00%,+51.00%,+1716.10%,+1227.00%,+934.85%,+129.75%,-130.50%,+227.00%,+136.00%,+890.50%,+239.50%,+663.50%,+47.60%,-24.10%,+44.00%,+26.50%,+12.00%
K88,༺•PEPE•༻,+313.71%,+229.60%,+249.10%,+41.50%,-40.00%,+468.98%,+7.50%,+1005.50%,+1598.41%,+426.00%,+43.00%,-58.75%,+131.00%,+203.00%,+1088.70%,+464.50%,+982.70%,+148.75%,-126.75%,+264.00%,+179.00%,+1466.50%,+1163.50%,+780.00%,+148.75%,-121.50%,+239.00%,+167.00%,+1886.55%,+1064.20%,+786.50%,+141.00%,-110.50%,+107.00%,+57.00%,+21.00%
K48,pino209,+339.10%,+245.60%,+298.10%,+41.50%,-2.50%,+548.44%,+74.44%,+811.20%,+992.92%,+1563.62%,+57.25%,-72.25%,+277.00%,+463.00%,+2322.05%,+1821.20%,+1161.85%,+138.25%,-130.75%,+420.00%,+354.00%,+1322.20%,+815.05%,+901.35%,+160.75%,-142.75%,+420.00%,+320.00%,+1173.00%,+402.50%,+1008.00%,+118.75%,-83.00%,+240.00%,+191.00%,+22.50%
K48,#LB#,+334.85%,+278.35%,+325.85%,+43.75%,-43.75%,+363.36%,+319.32%,+995.20%,+1510.07%,+1826.62%,+142.75%,-163.00%,+209.00%,+467.00%,+2341.55%,+1841.20%,+972.50%,+142.75%,-142.75%,+223.00%,+174.00%,+1811.50%,+1308.00%,+1168.20%,+167.25%,-144.75%,+457.00%,+306.00%,+1477.50%,+490.00%,+1049.00%,+79.80%,-77.80%,+185.00%,+156.00%,+23.00%
